APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,ASK_AMT,IS_SUCCESSFUL
T10,Independent,C1000,ProductDev,Association,1,0,N,5000,1
T3,Independent,C2000,Preservation,Co-operative,1,1-9999,N,108590,1
T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,1,10000-24999,N,6692,1
T3,Independent,C1000,Heathcare,Trust,1,100000-499999,N,142590,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,31452,1
T3,Independent,C2000,Preservation,Trust,1,10M-50M,N,7508025,1
T7,Independent,C1000,ProductDev,Trust,1,1-9999,N,94389,1
T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,69656,0
T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,165593,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,25000-99999,N,5301,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Heathcare,Trust,1,50M+,N,86380556,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,376109,0
T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,100000-499999,N,318296,0
T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,44004,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,1
T6,Independent,C2000,ProductDev,Trust,1,100000-499999,N,323466,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T7,Independent,C1000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,709815,0
Other,Independent,C1000,ProductDev,Trust,1,25000-99999,N,1329410,0
T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,31613,1
T3,Independent,C1200,Preservation,Trust,1,1M-5M,N,1549352,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,10M-50M,N,577113,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,44623,0
T3,CompanySponsored,C1000,Preservation,Association,1,100000-499999,N,64868,0
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,131620,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,306133,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,66916,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,236206,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T5,Independent,C1000,ProductDev,Trust,1,100000-499999,N,393704,1
T3,Family/Parent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
Other,Independent,C1000,ProductDev,Trust,1,10M-50M,N,9955466,1
T19,CompanySponsored,C1000,ProductDev,Association,1,25000-99999,N,94869,0
T3,Independent,C1000,Preservation,Association,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,100000-499999,N,6501,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,100000-499999,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,5000,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
